time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
0.10,1547729204,0.00,51.509820,7.467312,153.86,10.84,0.00,95.70,1,-85,-7,10,8,52,7,26379013,199
1.10,1547729205,10.89,51.509803,7.467494,153.86,11.53,0.68,96.74,1,-77,-6,25,12,58,7,26379013,199
2.10,1547729206,22.42,51.509804,7.467710,153.46,11.53,0.00,95.74,1,-77,-6,25,12,58,7,26379013,199
3.10,1547729207,33.94,51.509792,7.467878,153.00,12.49,0.97,97.19,1,-88,-6,11,12,49,7,26379013,199
4.10,1547729208,46.43,51.509784,7.468056,152.17,12.01,-0.48,95.99,1,-88,-6,11,12,49,7,26379013,199
5.10,1547729209,58.45,51.509779,7.468222,151.00,11.80,-0.21,93.34,1,-93,-7,10,7,44,7,26379013,199
6.10,1547729210,70.25,51.509779,7.468391,150.31,11.49,-0.31,89.79,1,-93,-7,10,7,44,7,26379013,199
7.11,1547729211,81.84,51.509784,7.468552,149.82,11.54,0.05,85.80,1,-90,-6,4,9,46,7,26379013,199
8.10,1547729212,93.27,51.509822,7.468717,149.28,12.25,0.72,70.70,1,-90,-6,4,9,46,7,26379013,199
9.10,1547729213,105.51,51.509860,7.468875,148.87,11.91,-0.35,69.44,1,-90,-6,4,9,46,7,26379013,199
10.10,1547729214,117.43,51.509904,7.469031,147.99,12.07,0.16,65.92,1,-94,-7,10,7,42,7,26379013,199
11.10,1547729215,129.49,51.509957,7.469190,146.88,12.25,0.18,63.21,1,-94,-7,10,7,42,7,26379013,199
12.10,1547729216,141.73,51.510015,7.469344,145.90,12.73,0.49,61.19,1,-97,-7,8,6,40,7,26379013,199
13.10,1547729217,154.46,51.508029,7.467583,144.96,12.90,0.17,59.94,1,-97,-7,8,6,40,7,26379013,199
14.11,1547729218,167.47,51.510140,7.469660,144.35,13.09,0.19,59.12,1,-95,-9,4,6,43,5,27256324,374
15.10,1547729219,180.47,51.510207,7.469820,143.90,13.16,0.07,58.30,1,-95,-9,4,6,43,5,27256324,374
16.11,1547729220,193.66,51.510274,7.469981,143.51,13.15,-0.01,57.44,1,-91,-6,8,6,45,6,27256325,372
17.10,1547729221,206.77,51.510336,7.470148,143.54,12.69,-0.46,57.84,1,-91,-6,8,6,45,6,27256325,372
18.10,1547729222,219.46,51.510400,7.470316,143.96,12.47,-0.22,57.27,1,-90,-6,22,9,46,6,27256325,372
19.10,1547729223,231.93,51.510457,7.470457,144.10,11.41,-1.06,56.28,1,-90,-6,22,9,46,6,27256325,372
20.10,1547729224,243.34,51.510518,7.470581,143.50,10.96,-0.45,53.58,1,-88,-6,13,9,49,6,27256325,372
21.11,1547729225,254.32,51.510581,7.470690,142.80,10.01,-0.94,51.16,1,-88,-6,13,9,49,6,27256325,372
22.10,1547729226,264.28,51.510639,7.470786,142.60,8.64,-1.38,48.44,1,-92,-8,14,8,46,6,27256325,372
23.10,1547729227,272.93,51.510697,7.470872,142.52,8.11,-0.52,46.38,1,-92,-8,14,8,46,6,27256325,372
24.10,1547729228,281.06,51.510753,7.470939,142.20,7.38,-0.73,44.62,1,-92,-7,16,11,45,6,27256325,372
25.10,1547729229,288.44,51.510799,7.470993,141.73,6.33,-1.04,43.17,1,-92,-7,16,11,45,6,27256325,372
26.10,1547729230,294.77,51.510838,7.471034,141.14,4.67,-1.66,42.23,1,-90,-6,18,12,47,6,27256325,372
27.10,1547729231,299.45,51.510867,7.471058,141.11,2.77,-1.91,41.20,1,-90,-6,18,12,47,6,27256325,372
28.11,1547729232,302.24,51.510881,7.471064,141.01,0.94,-1.82,41.20,1,-89,-7,14,1,48,6,27256325,372
29.10,1547729233,303.17,51.510881,7.471064,141.00,0.00,-0.95,41.20,1,-89,-7,14,1,48,6,27256325,372
30.10,1547729234,303.17,51.510881,7.471064,141.00,0.00,0.00,41.20,1,-89,-7,14,1,48,6,27256325,372
31.11,1547729235,303.17,51.510881,7.471064,141.00,0.00,0.00,41.20,1,-90,-7,20,11,45,6,27256325,372
32.10,1547729236,303.17,51.510881,7.471064,141.00,0.00,0.00,41.20,1,-90,-7,20,11,45,6,27256325,372
33.10,1547729237,303.17,51.512555,7.474302,141.00,0.00,0.00,41.20,1,-92,-9,18,11,47,6,27256325,372
34.10,1547729238,303.17,51.510881,7.471064,141.00,0.00,0.00,41.20,1,-92,-9,18,11,47,6,27256325,372
35.10,1547729239,303.17,51.510881,7.471064,141.00,0.00,0.00,41.20,1,-91,-6,20,11,45,6,27256325,372
36.10,1547729240,303.17,51.510881,7.471064,140.99,0.00,0.00,41.20,1,-91,-6,20,11,45,6,27256325,372
37.10,1547729241,303.17,51.510881,7.471064,140.99,0.00,0.00,41.20,1,-91,-6,21,9,44,6,27256325,372
38.10,1547729242,303.17,51.510881,7.471064,140.99,0.00,0.00,41.20,1,-91,-6,21,9,44,6,27256325,372
39.10,1547729243,303.17,51.510881,7.471064,140.99,0.00,0.00,41.20,1,-91,-6,21,9,45,6,27256325,372
40.10,1547729244,303.17,51.510881,7.471064,140.98,0.00,0.00,41.20,1,-91,-6,21,9,45,6,27256325,372
41.10,1547729245,303.17,51.510881,7.471064,140.98,0.00,0.00,41.20,1,-91,-6,20,11,45,6,27256325,372
42.10,1547729246,303.17,51.510881,7.471064,140.92,0.00,0.00,41.20,1,-91,-6,20,11,45,6,27256325,372
43.10,1547729247,303.17,51.510881,7.471064,140.84,0.00,0.00,69.97,1,-88,-5,19,12,48,6,27256325,372
44.10,1547729248,303.17,51.510932,7.471130,140.36,0.00,0.00,40.34,1,-88,-5,19,12,48,6,27256325,372
45.10,1547729249,303.17,51.510991,7.471210,140.24,8.64,0.00,40.16,1,-89,-6,22,12,47,6,27256325,372
46.10,1547729250,311.79,51.511064,7.471304,139.69,10.48,1.84,39.34,1,-89,-6,22,12,47,6,27256325,372
47.10,1547729251,322.27,51.511142,7.471384,139.26,10.48,0.00,40.34,1,-86,-6,23,12,50,6,27256325,372
48.10,1547729252,332.75,51.511234,7.471503,138.40,12.89,2.41,39.50,1,-86,-6,23,12,50,6,27256325,372
49.12,1547729253,345.80,51.511336,7.471635,137.54,14.45,1.55,38.86,1,-87,-6,21,1,49,6,27256325,372
50.10,1547729254,360.07,51.511438,7.471767,136.96,14.66,0.21,38.57,1,-87,-6,21,1,49,6,27256325,372
51.10,1547729255,374.74,51.511540,7.471896,136.33,14.29,-0.37,39.38,1,-87,-6,21,1,49,6,27256325,372
52.10,1547729256,388.96,51.511640,7.472024,135.76,14.16,-0.12,39.32,1,-86,-6,24,12,51,6,27256325,372
53.10,1547729257,403.18,51.512555,7.474302,135.12,14.19,0.03,39.82,1,-86,-6,24,12,51,6,27256325,372
54.10,1547729258,417.39,51.511844,7.472268,134.67,14.20,0.00,39.27,1,-88,-7,21,12,50,6,27256325,372
55.10,1547729259,431.57,51.511943,7.472389,134.51,13.90,-0.30,38.47,1,-88,-7,21,12,50,6,27256325,372
56.10,1547729260,445.47,51.512040,7.472502,134.46,13.18,-0.72,37.24,1,-83,-5,28,13,50,6,27256325,372
57.10,1547729261,458.66,51.512135,7.472603,134.71,12.34,-0.84,33.55,1,-83,-5,28,13,50,6,27256325,372
58.10,1547729262,470.97,51.512225,7.472674,135.19,11.18,-1.16,29.51,1,-85,-5,29,15,50,6,27256325,372
59.10,1547729263,482.14,51.512312,7.472715,135.66,9.89,-1.28,14.02,1,-85,-5,29,15,50,6,27256325,372
60.10,1547729264,492.04,51.512401,7.472755,136.70,10.00,0.10,12.38,1,-89,-5,19,12,48,6,27256325,372
61.10,1547729265,502.00,51.512522,7.472793,137.32,13.06,3.08,9.86,1,-89,-5,19,12,48,6,27256325,372
62.10,1547729266,515.08,51.512652,7.472821,137.89,14.14,1.07,7.74,1,-92,-7,21,12,46,6,27256325,372
63.10,1547729267,529.21,51.512785,7.472838,138.15,14.37,0.24,6.22,1,-92,-7,21,12,46,6,27256325,372
64.11,1547729268,543.66,51.512922,7.472863,139.21,15.11,0.73,5.39,1,-92,-6,14,9,44,6,27256325,372
65.10,1547729269,558.75,51.513061,7.472878,140.23,14.96,-0.15,4.85,1,-92,-6,14,9,44,6,27256325,372
66.10,1547729270,573.68,51.513200,7.472894,141.14,14.86,-0.09,4.03,1,-94,-6,6,6,43,10,29398276,358
67.10,1547729271,588.54,51.513336,7.472904,142.50,15.02,0.15,3.28,1,-94,-6,6,6,43,10,29398276,358
68.10,1547729272,603.57,51.513467,7.472916,144.63,14.63,-0.38,3.92,1,-92,-7,11,9,46,10,29398276,358
69.10,1547729273,618.22,51.513598,7.472937,146.96,15.19,0.56,4.17,1,-92,-7,11,9,46,10,29398276,358
70.11,1547729274,633.49,51.513731,7.472951,148.38,14.92,-0.28,3.80,1,-92,-6,6,6,45,9,29398276,358
71.10,1547729275,648.30,51.513860,7.472960,149.20,14.35,-0.57,2.90,1,-92,-6,6,6,45,9,29398276,358
72.10,1547729276,662.61,51.513995,7.472971,149.90,14.45,0.10,2.29,1,-92,-6,6,6,45,9,29398276,358
73.10,1547729277,677.08,51.513635,7.472900,149.61,14.48,0.03,1.62,1,-91,-7,15,13,48,9,29398276,358
74.10,1547729278,691.59,51.514265,7.472966,148.62,13.61,-0.86,2.10,1,-91,-7,15,13,48,9,29398276,358
75.10,1547729279,705.20,51.514382,7.472970,146.85,12.50,-1.11,2.85,1,-88,-8,20,15,49,9,29398276,358
76.10,1547729280,717.69,51.514478,7.472980,145.26,10.56,-1.95,3.69,1,-88,-8,20,15,49,9,29398276,358
77.10,1547729281,728.25,51.514549,7.472994,143.84,7.49,-3.07,4.00,1,-91,-6,20,15,46,9,29398276,358
78.10,1547729282,735.75,51.514631,7.472999,142.19,7.49,0.00,3.07,1,-91,-6,20,15,46,9,29398276,358
79.10,1547729283,743.24,51.514692,7.473002,142.31,6.67,-0.82,3.49,1,-93,-6,14,9,44,9,29398276,358
80.10,1547729284,749.91,51.514743,7.473013,141.73,4.68,-1.99,3.89,1,-93,-6,14,9,44,9,29398276,358
81.10,1547729285,754.60,51.514770,7.473018,141.64,1.88,-2.80,3.08,1,-92,-6,22,12,46,9,29398276,358
82.10,1547729286,756.47,51.514770,7.473018,141.58,0.33,-1.55,3.08,1,-92,-6,22,12,46,9,29398276,358
83.10,1547729287,756.80,51.514770,7.473018,141.58,0.00,-0.33,3.08,1,-90,-6,22,10,48,9,29398276,358
84.10,1547729288,756.80,51.514770,7.473018,141.57,0.00,0.00,3.08,1,-90,-6,22,10,48,9,29398276,358
85.10,1547729289,756.80,51.514770,7.473018,141.56,0.00,0.00,3.08,1,-90,-6,22,10,48,9,29398276,358
86.10,1547729290,756.80,51.514770,7.473018,141.55,0.00,0.00,3.08,1,-90,-6,22,10,48,9,29398276,358
87.10,1547729291,756.80,51.514770,7.473018,141.54,0.00,0.00,3.08,1,-91,-6,22,12,47,9,29398276,358
88.10,1547729292,756.80,51.514770,7.473018,141.53,0.00,0.00,3.08,1,-91,-6,22,12,47,9,29398276,358
89.10,1547729293,756.80,51.514770,7.473018,141.53,0.00,0.00,3.08,1,-90,-6,21,11,48,9,29398276,358
90.10,1547729294,756.80,51.514770,7.473018,141.53,0.00,0.00,3.08,1,-90,-6,21,11,48,9,29398276,358
91.11,1547729295,756.80,51.514770,7.473018,141.54,0.00,0.00,3.08,1,-91,-6,24,11,47,9,29398276,358
92.10,1547729296,756.80,51.514770,7.473018,141.55,0.00,0.00,3.08,1,-91,-6,24,11,47,9,29398276,358
93.10,1547729297,756.80,51.513635,7.472900,141.57,0.00,0.00,3.08,1,-91,-6,24,11,47,9,29398276,358
94.10,1547729298,756.80,51.514770,7.473018,141.59,0.00,0.00,3.08,1,-90,-9,21,11,50,9,29398276,358
95.10,1547729299,756.80,51.514770,7.473018,141.61,0.00,0.00,3.08,1,-90,-9,21,11,50,9,29398276,358
96.10,1547729300,756.80,51.514770,7.473018,141.63,0.00,0.00,3.08,1,-90,-6,21,11,48,9,29398276,358
97.10,1547729301,756.80,51.514770,7.473018,141.65,0.00,0.00,3.08,1,-90,-6,21,11,48,9,29398276,358
98.10,1547729302,756.80,51.514770,7.473018,141.67,0.00,0.00,3.08,1,-91,-7,22,11,49,9,29398276,358
99.10,1547729303,756.80,51.514770,7.473018,141.69,0.00,0.00,3.08,1,-91,-7,22,11,49,9,29398276,358
100.10,1547729304,756.80,51.514770,7.473018,141.71,0.00,0.00,3.08,1,-90,-6,21,11,48,9,29398276,358
101.10,1547729305,756.80,51.514770,7.473018,141.74,0.00,0.00,3.08,1,-90,-6,21,11,48,9,29398276,358
102.11,1547729306,756.80,51.514770,7.473018,141.76,0.00,0.00,3.08,1,-90,-7,25,11,49,9,29398276,358
103.10,1547729307,756.80,51.514770,7.473018,141.77,0.00,0.00,3.08,1,-90,-7,25,11,49,9,29398276,358
104.10,1547729308,756.80,51.514770,7.473018,141.78,0.00,0.00,3.08,1,-91,-8,21,11,49,9,29398276,358
