time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,f_mhz
10.24,1547728855,123.01,51.509900,7.468998,149.81,11.62,-0.67,68.48,1,-94,-8,9,7,44,7,26379013,199,0,0.50,4.11,38.00,2650
20.23,1547728865,245.53,51.510517,7.470581,146.62,13.38,0.52,53.47,1,-86,-7,22,11,51,5,27256325,372,1,4.00,15.22,53.00,2650
30.27,1547728875,387.36,51.511501,7.471865,142.34,14.39,-0.05,38.90,1,-87,-6,32,12,50,5,27256325,372,2,6.00,19.89,36.00,2650
40.26,1547728886,522.71,51.512566,7.472849,144.86,14.35,1.30,7.05,1,-89,-6,21,12,46,5,27256325,372,3,3.00,12.70,107.00,2650
50.25,1547728895,674.79,51.513928,7.472980,154.84,14.82,-0.58,2.59,1,-92,-6,6,6,46,9,29398276,358,4,7.00,18.08,41.00,2650
60.27,1547728905,824.91,51.515298,7.473032,146.40,13.42,-0.92,358.14,1,-92,-6,13,15,46,9,29398276,358,5,4.00,10.09,35.00,2650
70.27,1547728915,969.68,51.516384,7.471895,134.78,14.82,-0.36,301.02,1,-97,-7,2,13,41,9,29398276,358,6,8.00,21.07,40.00,2650
80.31,1547728925,1127.65,51.516977,7.469755,138.36,15.21,-1.38,292.00,1,-94,-6,27,15,43,9,29398276,358,7,3.00,10.54,42.00,2650
90.31,1547728936,1283.28,51.517451,7.467599,141.81,13.75,-0.55,295.29,1,-94,-6,10,15,43,9,29398276,358,8,6.00,9.71,52.00,2650
100.26,1547728946,1420.27,51.517869,7.465704,137.83,15.55,1.43,281.19,1,-95,-8,3,9,43,11,26376708,470,9,3.00,6.28,36.00,2650
110.28,1547728955,1570.04,51.517659,7.463571,131.99,15.61,-0.09,252.86,1,-90,-8,-1,11,50,13,26796291,24,10,8.00,18.39,95.00,2650
120.25,1547728966,1719.48,51.517153,7.461594,132.00,14.48,-0.84,251.04,1,-86,-7,11,11,53,7,26378754,443,11,10.00,29.04,46.00,2650
130.27,1547728976,1863.20,51.516719,7.459546,136.22,15.32,0.22,256.89,1,-77,-5,20,1,60,7,26378754,443,12,4.00,11.50,59.00,2650
140.27,1547728985,1995.45,51.516517,7.457730,133.00,8.38,-0.75,257.77,1,-87,-6,10,6,51,10,27029251,331,13,8.00,15.48,42.00,2650
150.25,1547728995,2023.39,51.516460,7.457380,133.43,0.00,0.00,251.52,1,-85,-5,14,14,52,10,27029251,331,14,1.00,6.37,88.00,2650
160.26,1547729005,2035.52,51.516380,7.456959,134.87,6.79,0.00,253.98,1,-87,-6,9,11,51,10,27029251,331,15,0.50,7.50,42.00,2650
170.27,1547729016,2128.29,51.515929,7.455631,133.22,10.79,-0.63,231.99,1,-86,-8,10,8,54,2,26378754,443,16,3.00,12.77,40.00,2650
180.25,1547729026,2209.45,51.515281,7.455127,129.47,8.32,0.96,184.34,1,-83,-7,13,11,54,3,26796291,24,17,10.00,20.71,37.00,2650
190.33,1547729036,2329.78,51.514140,7.455361,137.73,12.81,-0.71,171.55,1,-70,-8,20,11,63,3,26796291,24,18,9.00,18.39,42.00,2650
200.24,1547729045,2441.53,51.513183,7.455917,150.57,9.57,-0.49,140.24,1,-88,-11,13,7,55,1,26796290,25,19,8.00,20.07,37.00,2650
210.26,1547729056,2548.29,51.512578,7.457228,153.43,12.65,0.16,125.58,1,-89,-7,11,8,48,2,26378755,441,20,2.00,9.51,60.00,2650
220.28,1547729065,2678.58,51.511886,7.458747,164.18,9.41,-1.12,127.36,1,-91,-8,10,8,49,2,26378755,441,21,9.00,21.11,53.00,2650
230.26,1547729076,2710.87,51.511733,7.459111,159.98,0.00,0.00,128.91,1,-88,-8,9,9,51,2,26378755,441,22,2.00,9.63,58.00,2650
240.26,1547729085,2710.87,51.511733,7.459111,159.67,0.00,0.00,128.91,1,-88,-7,10,9,49,2,26378755,441,23,4.00,9.70,112.00,2650
250.26,1547729095,2710.87,51.511733,7.459111,160.10,0.00,0.00,128.91,1,-87,-8,13,9,52,2,26378755,441,24,0.10,5.00,44.00,2650
260.27,1547729105,2710.87,51.511733,7.459111,160.31,0.00,0.00,128.91,1,-89,-8,14,8,50,2,26378755,441,25,7.00,16.56,46.00,2650
270.27,1547729115,2743.75,51.511198,7.460053,164.31,12.57,0.00,139.20,1,-90,-7,12,8,47,2,26378755,441,26,6.00,11.76,134.00,2650
280.29,1547729126,2866.67,51.510356,7.461447,169.72,9.91,-0.45,135.60,1,-90,-9,6,6,51,2,26378755,441,27,8.00,17.51,55.00,2650
290.24,1547729135,2902.45,51.510183,7.461894,169.28,0.00,0.00,129.89,1,-85,-6,11,8,52,5,27299332,326,28,10.00,20.01,36.00,2650
300.26,1547729145,2902.45,51.510183,7.461894,168.70,0.00,0.00,129.89,1,-85,-6,12,12,53,5,27299332,326,29,5.00,16.37,37.00,2650
310.27,1547729156,2902.45,51.510183,7.461894,168.02,0.00,0.00,129.89,1,-85,-7,5,9,54,5,27299332,326,30,8.00,17.52,56.00,2650
320.28,1547729165,2902.45,51.510128,7.462002,167.55,3.43,0.00,125.52,1,-84,-7,6,7,55,5,27299332,326,31,3.00,11.10,53.00,2650
330.33,1547729176,2974.55,51.509885,7.463304,160.67,9.26,-1.10,97.02,1,-82,-6,17,11,55,5,27299332,326,32,9.00,15.03,40.00,2650
340.28,1547729186,3035.53,51.509884,7.464386,154.91,7.12,2.25,89.03,1,-87,-7,6,9,51,5,27299332,326,33,4.00,11.01,37.00,2650
