time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
0.08,1544535965,0.00,51.490332,7.412358,155.76,4.15,0.00,75.88,1,-114,-9,-10,4,14,64,13067274,347
1.08,1544535966,4.16,51.490353,7.412469,155.75,4.45,0.29,77.89,1,-113,-10,-1,8,15,64,13067274,289
2.08,1544535967,8.63,51.490383,7.412623,155.66,9.20,4.73,77.55,1,-113,-10,-1,8,15,64,13067274,289
3.08,1544535968,17.83,51.490407,7.412777,155.90,9.56,0.37,78.84,1,-113,-13,-5,8,18,64,13067274,289
4.08,1544535969,27.39,51.490446,7.412936,155.69,10.32,0.76,78.35,1,-113,-13,-5,8,18,64,13067274,289
5.08,1544535970,37.70,51.490469,7.413099,155.30,11.38,1.06,77.79,1,-118,-12,1,8,12,64,13067274,289
6.08,1544535971,49.08,51.490487,7.413252,154.92,11.65,0.27,76.97,1,-118,-12,1,8,12,64,13067274,289
7.09,1544535972,60.83,51.490510,7.413427,154.95,11.83,0.18,77.33,1,-116,-13,1,8,18,64,13067274,289
8.08,1544535973,72.56,51.490534,7.413595,155.01,11.87,0.04,78.09,1,-116,-13,1,8,18,64,13067274,289
9.08,1544535974,84.43,51.490557,7.413769,154.98,12.10,0.23,78.61,1,-116,-13,1,8,18,64,13067274,289
10.09,1544535975,96.66,51.490579,7.413940,154.73,12.22,0.12,78.37,1,-119,-14,-2,6,12,64,13067274,289
11.08,1544535976,108.72,51.490602,7.414112,154.24,12.29,0.07,78.35,1,-119,-14,-2,6,12,64,13067274,289
12.09,1544535977,121.08,51.490625,7.414293,153.79,12.50,0.21,77.47,1,-113,-14,-2,6,19,18,13532163,200
13.09,1544535978,133.59,51.490646,7.414475,153.32,12.57,0.07,77.75,1,-113,-14,-2,6,19,18,13532163,200
14.08,1544535979,146.10,51.490672,7.414668,152.92,12.58,0.02,78.09,1,-115,-8,-8,9,25,15,14264846,125
15.08,1544535980,158.69,51.490694,7.414844,152.88,12.12,-0.47,78.77,1,-115,-8,-8,9,25,15,14264846,125
16.08,1544535981,170.78,51.490710,7.415014,152.95,12.08,-0.04,79.61,nan,nan,nan,nan,nan,nan,nan,nan,nan
17.08,1544535982,182.88,51.490721,7.415181,153.02,12.15,0.08,80.76,nan,nan,nan,nan,nan,nan,nan,nan,nan
18.08,1544535983,195.01,51.490731,7.415355,153.04,12.12,-0.04,82.20,nan,nan,nan,nan,nan,nan,nan,nan,nan
19.08,1544535984,207.14,51.490738,7.415531,152.76,12.17,0.05,83.64,nan,nan,nan,nan,nan,nan,nan,nan,nan
20.08,1544535985,219.31,51.490740,7.415696,152.63,12.05,-0.12,85.57,nan,nan,nan,nan,nan,nan,nan,nan,nan
21.08,1544535986,231.37,51.490740,7.415864,152.55,12.10,0.05,87.49,nan,nan,nan,nan,nan,nan,nan,nan,nan
22.08,1544535987,243.46,51.490733,7.416024,152.49,12.16,0.07,89.77,nan,nan,nan,nan,nan,nan,nan,nan,nan
23.08,1544535988,255.60,51.490724,7.416207,152.64,12.16,-0.00,92.28,nan,nan,nan,nan,nan,nan,nan,nan,nan
24.08,1544535989,267.76,51.490708,7.416378,152.47,11.16,-1.00,95.02,1,-111,-11,2,9,17,17,12806666,385
25.08,1544535990,278.94,51.490691,7.416530,152.35,9.51,-1.65,97.27,1,-111,-11,2,9,17,17,12806666,385
26.08,1544535991,288.39,51.490675,7.416650,152.11,7.88,-1.64,99.37,1,-109,-10,2,9,18,17,12806666,385
27.08,1544535992,296.30,51.490661,7.416738,152.43,6.08,-1.80,101.09,1,-109,-10,2,9,18,17,12806666,385
28.09,1544535993,302.43,51.490647,7.416828,152.76,4.85,-1.21,101.83,1,-109,-13,2,7,18,17,12806666,385
29.08,1544535994,307.25,51.490634,7.416897,153.08,4.19,-0.67,103.43,1,-109,-13,2,7,18,17,12806666,385
30.08,1544535995,311.44,51.490625,7.416930,153.11,2.69,-1.50,103.97,1,-109,-13,2,7,18,17,12806666,385
31.08,1544535996,314.13,51.490615,7.416971,153.14,1.72,-0.96,104.03,1,-109,-11,3,7,15,17,12806666,385
32.08,1544535997,315.85,51.490608,7.416985,153.15,0.80,-0.93,104.03,1,-109,-11,3,7,15,17,12806666,385
33.08,1544535998,316.65,51.490608,7.416985,153.16,0.00,-0.80,104.03,1,-108,-12,1,8,16,17,12806666,385
34.08,1544535999,316.65,51.490608,7.416985,153.17,0.00,0.00,104.03,1,-108,-12,1,8,16,17,12806666,385
35.08,1544536000,316.65,51.490608,7.416985,153.18,0.00,0.00,104.03,1,-111,-15,1,7,18,17,12806666,385
36.08,1544536001,316.65,51.490608,7.416985,153.20,0.00,0.00,104.03,1,-111,-15,1,7,18,17,12806666,385
37.08,1544536002,316.65,51.490608,7.416985,153.22,0.00,0.00,104.03,1,-109,-16,0,5,19,17,12806666,385
38.08,1544536003,316.65,51.490608,7.416985,153.24,0.00,0.00,104.03,1,-109,-16,0,5,19,17,12806666,385
39.08,1544536004,316.65,51.490608,7.416985,153.25,0.00,0.00,104.03,1,-107,-12,0,7,16,17,12806666,385
40.09,1544536005,316.65,51.490608,7.416985,153.27,0.00,0.00,104.03,1,-107,-12,0,7,16,17,12806666,385
41.08,1544536006,316.65,51.490608,7.416985,153.28,0.00,0.00,104.03,1,-110,-9,1,10,14,17,12806666,385
42.08,1544536007,316.65,51.490608,7.416985,153.29,0.00,0.00,104.03,1,-110,-9,1,10,14,17,12806666,385
43.08,1544536008,316.65,51.490608,7.416985,153.30,0.00,0.00,104.03,1,-106,-15,1,7,18,17,12806666,385
44.08,1544536009,316.65,51.490608,7.416985,153.32,0.00,0.00,104.03,1,-106,-15,1,7,18,17,12806666,385
45.08,1544536010,316.65,51.490608,7.416985,153.33,0.00,0.00,104.03,1,-106,-15,0,6,19,17,12806666,385
46.08,1544536011,316.65,51.490608,7.416985,153.34,0.00,0.00,104.03,1,-106,-15,0,6,19,17,12806666,385
47.08,1544536012,316.65,51.490608,7.416985,153.36,0.00,0.00,104.03,1,-107,-11,0,8,15,17,12806666,385
48.08,1544536013,316.65,51.490608,7.416985,153.37,0.00,0.00,104.03,1,-107,-11,0,8,15,17,12806666,385
49.09,1544536014,316.65,51.491308,7.417496,153.38,0.00,0.00,104.03,1,-108,-12,0,6,15,17,12806666,385
50.09,1544536015,316.65,51.490608,7.416985,153.39,0.00,0.00,104.03,1,-108,-12,0,6,15,17,12806666,385
51.08,1544536016,316.65,51.490608,7.416985,153.40,0.00,0.00,104.03,1,-108,-12,0,6,15,17,12806666,385
52.08,1544536017,316.65,51.490608,7.416985,153.42,0.00,0.00,104.03,1,-111,-12,0,9,17,17,12806666,385
53.08,1544536018,316.65,51.490608,7.416985,153.44,0.00,0.00,104.03,1,-111,-12,0,9,17,17,12806666,385
54.08,1544536019,316.65,51.490608,7.416985,153.46,0.00,0.00,104.03,1,-110,-14,-1,9,19,17,12806666,385
55.08,1544536020,316.65,51.490608,7.416985,153.47,0.00,0.00,104.03,1,-110,-14,-1,9,19,17,12806666,385
56.08,1544536021,316.65,51.490608,7.416985,153.49,0.00,0.00,104.03,1,-110,-13,-1,6,16,17,12806666,385
57.08,1544536022,316.65,51.490608,7.416985,153.51,0.00,0.00,104.03,1,-110,-13,-1,6,16,17,12806666,385
58.08,1544536023,316.65,51.490609,7.416983,153.52,0.00,0.00,104.03,1,-110,-10,1,7,14,17,12806666,385
59.08,1544536024,316.65,51.490608,7.416980,153.53,0.00,0.00,104.03,1,-110,-10,1,7,14,17,12806666,385
60.09,1544536025,316.65,51.490606,7.416975,153.68,0.00,0.00,104.03,1,-110,-10,1,6,14,17,12806666,385
61.08,1544536026,316.65,51.490607,7.416972,153.70,0.00,0.00,104.03,1,-110,-10,1,6,14,17,12806666,385
62.08,1544536027,316.65,51.490609,7.416973,153.89,0.00,0.00,104.03,1,-112,-14,0,5,18,17,12806666,385
63.08,1544536028,316.65,51.490609,7.416977,154.07,0.00,0.00,118.02,1,-112,-14,0,5,18,17,12806666,385
64.08,1544536029,316.65,51.490610,7.416981,154.21,0.00,0.00,102.59,1,-111,-10,1,6,14,17,12806666,385
65.08,1544536030,316.65,51.490609,7.417000,154.30,1.04,0.00,99.36,1,-111,-10,1,6,14,17,12806666,385
66.08,1544536031,317.69,51.490603,7.417046,155.13,2.47,1.43,100.10,1,-111,-9,1,6,15,17,12806666,385
67.08,1544536032,320.16,51.490584,7.417101,155.52,4.05,1.58,115.83,1,-111,-9,1,6,15,17,12806666,385
68.08,1544536033,324.21,51.490532,7.417167,155.63,5.32,1.27,141.26,1,-109,-8,8,9,14,17,12806666,385
69.08,1544536034,329.53,51.491219,7.417915,152.20,6.40,1.08,163.70,1,-109,-8,8,9,14,17,12806666,385
70.09,1544536035,336.01,51.490369,7.417244,155.19,9.36,2.93,169.81,1,-113,-10,3,6,15,17,12806666,385
71.08,1544536036,345.27,51.490274,7.417276,155.05,10.16,0.80,169.18,1,-113,-10,3,6,15,17,12806666,385
72.08,1544536037,355.43,51.490176,7.417310,154.57,11.44,1.28,168.72,1,-113,-10,3,6,15,17,12806666,385
73.08,1544536038,366.85,51.490071,7.417345,154.20,12.04,0.60,167.96,1,-110,-12,1,10,21,17,12806666,385
74.08,1544536039,378.86,51.489961,7.417389,153.80,12.66,0.63,166.48,1,-110,-12,1,10,21,17,12806666,385
75.08,1544536040,391.51,51.489846,7.417436,153.33,12.49,-0.17,165.85,1,-115,-13,0,6,15,17,12806666,385
76.08,1544536041,404.04,51.489742,7.417478,153.06,12.44,-0.05,166.44,1,-115,-13,0,6,15,17,12806666,385
77.08,1544536042,416.50,51.489625,7.417523,152.71,12.60,0.17,167.10,1,-115,-12,0,8,14,17,12806666,385
78.08,1544536043,429.10,51.489517,7.417567,152.88,12.67,0.06,167.47,1,-115,-12,0,8,14,17,12806666,385
79.08,1544536044,441.75,51.489397,7.417609,153.06,12.74,0.08,168.07,1,-112,-10,1,6,16,17,12806666,385
80.09,1544536045,454.57,51.489290,7.417646,153.33,12.91,0.16,168.57,1,-112,-10,1,6,16,17,12806666,385
81.08,1544536046,467.42,51.489162,7.417680,153.11,13.23,0.33,169.26,1,-111,-9,3,6,17,17,12806666,385
82.08,1544536047,480.63,51.489032,7.417709,152.71,13.59,0.36,170.73,1,-111,-9,3,6,17,17,12806666,385
83.08,1544536048,494.22,51.488910,7.417730,152.30,13.52,-0.07,172.63,1,-110,-8,4,7,17,17,12806666,385
84.08,1544536049,507.76,51.488792,7.417741,151.91,13.54,0.02,174.76,1,-110,-8,4,7,17,17,12806666,385
85.09,1544536050,521.34,51.488671,7.417750,151.93,13.59,0.04,176.99,1,-111,-11,4,7,19,17,12806666,385
86.08,1544536051,534.89,51.488553,7.417750,152.00,13.73,0.14,178.90,1,-111,-11,4,7,19,17,12806666,385
87.08,1544536052,548.60,51.488434,7.417748,152.41,13.89,0.17,180.00,1,-105,-8,7,13,21,17,12806666,385
88.08,1544536053,562.51,51.488312,7.417744,152.78,14.08,0.18,180.92,1,-105,-8,7,13,21,17,12806666,385
89.08,1544536054,576.59,51.495853,7.409786,153.13,14.25,0.17,181.85,1,-107,-9,9,12,21,17,12806666,385
90.09,1544536055,590.89,51.488058,7.417724,153.11,14.35,0.10,181.18,1,-107,-9,9,12,21,17,12806666,385
91.08,1544536056,605.15,51.487935,7.417720,152.84,14.22,-0.13,180.15,1,-112,-11,5,6,17,17,12806666,385
92.08,1544536057,619.38,51.487809,7.417724,152.43,14.10,-0.13,178.31,1,-112,-11,5,6,17,17,12806666,385
93.09,1544536058,633.57,51.487681,7.417743,151.86,14.50,0.40,175.50,1,-108,-14,2,12,19,17,12806666,385
94.09,1544536059,648.05,51.487561,7.417806,151.27,14.11,-0.39,162.45,1,-108,-14,2,12,19,17,12806666,385
95.08,1544536060,662.14,51.487448,7.417872,150.40,13.67,-0.44,159.78,1,-108,-14,2,12,19,17,12806666,385
96.08,1544536061,675.81,51.487338,7.417955,149.46,13.63,-0.04,155.68,1,-109,-10,5,11,17,17,12806666,385
97.08,1544536062,689.44,51.487241,7.418080,148.70,13.35,-0.27,141.03,1,-109,-10,5,11,17,17,12806666,385
98.08,1544536063,702.79,51.487150,7.418209,147.98,13.61,0.26,138.63,1,-110,-10,4,10,16,17,12806666,385
99.08,1544536064,716.40,51.487062,7.418339,146.95,13.88,0.26,137.49,1,-110,-10,4,10,16,17,12806666,385
100.09,1544536065,730.32,51.486969,7.418479,146.04,13.66,-0.21,138.59,1,-119,-12,-1,5,12,17,12806666,385
101.08,1544536066,743.94,51.486871,7.418598,145.26,13.66,-0.00,141.96,1,-119,-12,-1,5,12,17,12806666,385
102.09,1544536067,757.62,51.486769,7.418659,144.23,13.07,-0.59,158.80,1,-108,-10,-8,10,21,17,13532675,385
103.09,1544536068,770.69,51.486659,7.418715,143.50,13.02,-0.05,162.19,1,-108,-10,-8,10,21,17,13532675,385
104.08,1544536069,783.65,51.486535,7.418723,142.61,12.84,-0.18,178.89,1,-101,-8,7,10,27,17,13532675,385
105.08,1544536070,796.47,51.486421,7.418722,141.93,12.31,-0.54,181.48,1,-101,-8,7,10,27,17,13532675,385
106.09,1544536071,808.92,51.486323,7.418686,141.75,11.51,-0.79,195.13,1,-97,-9,7,7,33,17,13532675,385
107.08,1544536072,820.33,51.486228,7.418646,142.04,11.26,-0.25,194.84,1,-97,-9,7,7,33,17,13532675,385
108.08,1544536073,831.53,51.486130,7.418608,142.22,11.11,-0.15,194.66,1,-101,-8,7,7,27,17,13532675,385
109.08,1544536074,842.69,51.486119,7.418518,142.70,10.98,-0.13,193.42,1,-101,-8,7,7,27,17,13532675,385
110.09,1544536075,853.73,51.485941,7.418547,143.01,10.30,-0.67,190.65,1,-98,-9,5,7,30,17,13532675,385
111.09,1544536076,864.03,51.485858,7.418535,143.17,9.74,-0.56,186.84,1,-98,-9,5,7,30,17,13532675,385
112.08,1544536077,873.72,51.485775,7.418527,143.25,9.53,-0.22,183.19,1,-99,-9,5,8,30,17,13532675,385
113.08,1544536078,883.24,51.485679,7.418548,143.59,9.79,0.26,168.85,1,-99,-9,5,8,30,17,13532675,385
114.08,1544536079,893.04,51.485591,7.418576,144.37,10.03,0.24,167.05,1,-102,-9,4,11,29,17,13532675,385
115.08,1544536080,903.07,51.485505,7.418624,145.31,10.35,0.32,163.84,1,-102,-9,4,11,29,17,13532675,385
116.09,1544536081,913.47,51.485417,7.418682,146.23,10.45,0.10,160.73,1,-99,-10,6,8,31,17,13532675,385
117.08,1544536082,923.87,51.485332,7.418745,146.89,10.41,-0.04,158.28,1,-99,-10,6,8,31,17,13532675,385
118.08,1544536083,934.27,51.485251,7.418815,147.29,10.78,0.38,156.60,1,-99,-10,6,8,31,17,13532675,385
119.08,1544536084,945.05,51.485165,7.418887,147.82,10.41,-0.37,157.54,1,-97,-7,7,9,30,17,13532675,385
120.09,1544536085,955.51,51.485078,7.418947,148.43,10.35,-0.06,160.64,1,-97,-7,7,9,30,17,13532675,385
121.08,1544536086,965.82,51.484987,7.418971,148.94,10.71,0.37,174.60,1,-101,-9,0,7,27,17,13532675,385
122.08,1544536087,976.50,51.484889,7.418987,149.53,11.40,0.69,176.11,1,-101,-9,0,7,27,17,13532675,385
123.08,1544536088,987.95,51.484782,7.418995,149.93,11.60,0.20,179.03,1,-103,-13,0,7,31,17,13532675,385
124.08,1544536089,999.56,51.484681,7.418965,150.39,11.42,-0.18,191.71,1,-103,-13,0,7,31,17,13532675,385
125.10,1544536090,1011.14,51.484577,7.418930,150.39,11.75,0.33,193.20,1,-107,-16,-5,5,28,17,13532675,385
126.09,1544536091,1022.78,51.484471,7.418879,150.24,12.48,0.74,196.05,1,-107,-16,-5,5,28,17,13532675,385
127.08,1544536092,1035.21,51.484367,7.418809,149.89,12.96,0.48,199.81,1,-100,-8,8,8,38,16,13532419,390
128.08,1544536093,1048.15,51.484254,7.418721,149.30,13.22,0.26,203.45,1,-100,-8,8,8,38,16,13532419,390
129.08,1544536094,1061.36,51.484147,7.418624,148.43,13.26,0.04,206.72,1,-96,-7,9,9,41,16,13532419,390
130.09,1544536095,1074.69,51.484040,7.418515,147.83,13.44,0.18,209.11,1,-96,-7,9,9,41,16,13532419,390
131.08,1544536096,1088.08,51.483938,7.418411,147.09,12.76,-0.69,210.66,1,-97,-8,7,13,39,16,13532419,390
132.08,1544536097,1100.82,51.483834,7.418303,145.99,13.02,0.27,211.75,1,-97,-8,7,13,39,16,13532419,390
133.08,1544536098,1113.85,51.483739,7.418201,144.95,12.77,-0.25,212.36,1,-98,-10,4,2,40,15,13532419,390
134.08,1544536099,1126.58,51.483643,7.418093,144.20,12.63,-0.14,212.99,1,-98,-10,4,2,40,15,13532419,390
135.08,1544536100,1139.28,51.483545,7.417981,144.09,12.53,-0.10,213.62,1,-104,-13,6,7,31,15,13532419,390
136.08,1544536101,1151.80,51.483455,7.417886,143.75,12.35,-0.18,213.27,1,-104,-13,6,7,31,15,13532419,390
137.09,1544536102,1164.24,51.483367,7.417787,143.04,12.24,-0.11,212.68,1,-102,-13,3,5,30,15,13532419,390
138.08,1544536103,1176.37,51.483275,7.417690,142.56,12.11,-0.13,211.73,1,-102,-13,3,5,30,15,13532419,390
139.08,1544536104,1188.49,51.483187,7.417603,142.02,12.09,-0.03,210.25,1,-102,-13,3,5,30,15,13532419,390
140.09,1544536105,1200.66,51.483095,7.417520,141.54,12.11,0.03,208.60,1,-104,-15,2,7,31,15,13532419,390
141.08,1544536106,1212.69,51.483006,7.417449,141.30,12.09,-0.02,206.88,1,-104,-15,2,7,31,15,13532419,390
142.08,1544536107,1224.74,51.482914,7.417381,141.77,11.91,-0.18,205.29,1,-105,-14,1,6,29,15,13532419,390
143.08,1544536108,1236.64,51.482829,7.417322,142.70,11.77,-0.13,203.93,1,-105,-14,1,6,29,15,13532419,390
144.08,1544536109,1248.44,51.482737,7.417262,143.69,11.79,0.01,202.95,1,-104,-12,2,6,28,17,13532675,385
145.08,1544536110,1260.25,51.482639,7.417201,144.54,11.86,0.07,202.39,1,-104,-12,2,6,28,17,13532675,385
146.08,1544536111,1272.09,51.482538,7.417138,145.23,12.00,0.15,201.65,1,-95,-8,4,10,33,17,13532675,385
147.08,1544536112,1284.09,51.482437,7.417079,145.87,11.88,-0.12,200.93,1,-95,-8,4,10,33,17,13532675,385
148.08,1544536113,1295.95,51.482332,7.417023,146.85,11.02,-0.86,199.93,1,-98,-10,2,9,35,17,13532675,385
149.08,1544536114,1306.97,51.482228,7.416418,147.99,10.28,-0.75,199.17,1,-98,-10,2,9,35,17,13532675,385
150.09,1544536115,1317.32,51.482133,7.416930,148.86,9.62,-0.65,199.08,1,-88,-8,0,6,42,9,13532161,199
151.08,1544536116,1326.90,51.482048,7.416893,149.55,8.62,-1.01,199.75,1,-88,-8,0,6,42,9,13532161,199
152.08,1544536117,1335.52,51.481974,7.416854,149.97,8.14,-0.48,200.51,1,-94,-9,5,9,35,9,13532161,199
153.08,1544536118,1343.63,51.481906,7.416817,150.26,7.26,-0.89,201.01,1,-94,-9,5,9,35,9,13532161,199
154.09,1544536119,1350.99,51.481856,7.416788,150.71,6.35,-0.90,201.96,1,-91,-8,5,11,37,9,13532161,199
155.08,1544536120,1357.27,51.481809,7.416760,151.19,5.16,-1.20,201.61,1,-91,-8,5,11,37,9,13532161,199
156.08,1544536121,1362.42,51.481781,7.416743,151.25,3.69,-1.48,201.34,1,-92,-9,2,9,38,9,13532161,199
157.08,1544536122,1366.11,51.481760,7.416731,151.32,1.92,-1.77,201.72,1,-92,-9,2,9,38,9,13532161,199
158.09,1544536123,1368.04,51.481748,7.416724,151.38,1.09,-0.83,202.55,1,-95,-11,-2,8,36,9,13532161,199
159.08,1544536124,1369.12,51.481746,7.416721,151.44,0.75,-0.34,202.55,1,-95,-11,-2,8,36,9,13532161,199
160.09,1544536125,1369.87,51.481744,7.416720,151.51,0.33,-0.42,202.55,1,-95,-11,-2,8,36,9,13532161,199
161.08,1544536126,1370.20,51.481744,7.416720,151.51,0.00,-0.33,202.55,1,-93,-10,2,8,36,9,13532161,199
162.08,1544536127,1370.20,51.481744,7.416720,151.52,0.00,0.00,202.55,1,-93,-10,2,8,36,9,13532161,199
163.08,1544536128,1370.20,51.481744,7.416720,151.52,0.00,0.00,202.55,1,-94,-11,3,9,36,9,13532161,199
164.08,1544536129,1370.20,51.481744,7.416720,151.52,0.00,0.00,202.55,1,-94,-11,3,9,36,9,13532161,199
165.08,1544536130,1370.20,51.481744,7.416720,151.53,0.00,0.00,202.55,1,-94,-11,0,9,35,9,13532161,199
166.08,1544536131,1370.20,51.481744,7.416720,151.53,0.00,0.00,202.55,1,-94,-11,0,9,35,9,13532161,199
167.08,1544536132,1370.20,51.481744,7.416720,151.53,0.00,0.00,202.55,1,-94,-11,2,9,35,9,13532161,199
168.08,1544536133,1370.20,51.481744,7.416720,151.53,0.00,0.00,202.55,1,-94,-11,2,9,35,9,13532161,199
